User_id,Merchant_id,Coupon_id,Discount_rate,Distance,Date_received,Date
114747,5341,111,30:5,0,20160207,20160218
114747,5341,7751,50:10,0,20160127,20160128
114747,5341,null,null,0,null,20160624
114747,5341,null,null,0,null,20160612
114747,5341,null,null,0,null,20160609
114747,4142,4773,100:10,0,20160130,null
114747,4142,4773,100:10,0,20160130,null
114747,3710,13056,150:10,10,20160128,null
114747,2454,8088,20:5,0,20160324,20160331
114747,2099,12034,100:10,0,20160128,null
114747,5341,null,null,0,null,20160328
114747,5341,null,null,0,null,20160415
114747,5341,null,null,0,null,20160627
114747,7706,416,100:10,0,20160129,null
114747,5341,null,null,0,null,20160508
114747,5341,null,null,0,null,20160517
114747,5341,null,null,0,null,20160325
114747,5341,null,null,0,null,20160601
114747,5341,null,null,0,null,20160613
114747,450,8555,30:5,7,20160128,null
114747,1569,5054,200:30,9,20160426,null
114747,1569,12961,100:30,9,20160129,null
114747,2454,null,null,0,null,20160509
114747,3381,11951,200:20,0,20160128,null
114747,3381,9776,10:5,0,20160129,20160221
114747,4833,13628,200:20,1,20160130,null
114747,5341,null,null,0,null,20160621
114747,5341,11539,30:5,0,20160128,null
245878,760,2418,30:5,0,20160601,null
3409760,5341,7751,50:10,1,20160128,null
3409760,6901,2366,30:5,7,20160530,null
3409760,7555,17,30:5,10,20160126,null
3409760,450,8555,30:5,10,20160126,null
3409760,5341,111,30:5,1,20160127,null
3409760,4660,1480,100:10,10,20160126,null
3409760,7706,416,100:10,2,20160128,null
983640,6134,767,200:20,null,20160124,null
344428,1940,null,null,1,null,20160324
656088,4142,4773,100:10,1,20160123,null
656088,4142,4773,100:10,1,20160123,null
656088,4142,null,null,1,null,20160123
820056,2709,2840,100:10,2,20160201,null
2231648,3621,2705,20:5,1,20160522,null
94347,8386,10823,200:50,10,20160127,null
94347,4860,8105,100:30,10,20160127,null
94347,4860,9586,100:30,10,20160203,null
94347,6454,14031,100:10,10,20160128,null
180502,3403,7632,20:5,2,20160327,null
180502,3403,7632,20:5,2,20160327,null
180502,3403,null,null,2,null,20160327
951384,2709,2840,100:10,2,20160125,null
951384,4660,1480,100:10,10,20160125,null
951384,6284,7379,50:10,10,20160125,null
951384,450,8555,30:5,2,20160125,null
4465344,8386,9847,200:50,null,20160126,null
4465344,6454,14031,100:10,null,20160131,null
4465344,4660,1480,100:10,null,20160126,null
4465344,7019,3887,100:10,null,20160128,null
4465344,4433,190,200:20,null,20160130,null
4465344,2804,10326,30:5,null,20160127,null
4465344,2146,11173,100:10,null,20160130,null
6038208,1569,5054,200:30,0,20160417,null
328300,6424,1315,100:10,10,20160129,null
623832,4442,7643,100:50,null,20160429,null
918744,7555,9871,30:5,null,20160415,null
984408,3381,1807,300:30,0,20160202,null
205174,1169,null,null,0,null,20160206
205174,1169,4627,50:20,0,20160206,20160214
172438,4660,1480,100:10,10,20160125,null
172438,5341,111,30:5,1,20160127,null
172438,7555,17,30:5,10,20160125,null
172438,5341,null,null,1,null,20160404
984792,4195,3726,0.9,0,20160218,null
984792,4195,3726,0.9,0,20160324,null
1314224,760,2418,30:5,2,20160611,null
1314224,1569,5054,200:30,10,20160329,null
1707440,6454,14031,100:10,2,20160129,null
1707440,7019,3887,100:10,3,20160129,null
1707440,4433,190,200:20,null,20160131,null
1707440,3381,11951,200:20,1,20160129,null
1707440,1169,10929,200:30,5,20160129,null
3283808,6189,13606,30:5,2,20160524,null
3283808,6189,null,null,2,null,20160524
156118,4860,8105,100:30,10,20160130,null
443308,6434,10050,50:5,7,20160125,null
65787,1569,12961,100:30,10,20160124,null
65787,2709,2840,100:10,10,20160124,null
65787,450,8555,30:5,10,20160124,null
65787,4663,818,150:20,4,20160124,null
65787,6284,4567,50:10,10,20160124,null
65787,4660,1480,100:10,5,20160124,null
65787,6434,10050,50:5,5,20160124,null
65787,8386,161,100:30,6,20160125,null
65787,760,3237,20:5,0,20160125,null
65787,3381,11951,200:20,3,20160129,null
127227,760,3237,20:5,9,20160129,null
127227,3621,2705,20:5,0,20160510,null
127227,3381,9776,10:5,1,20160129,null
127227,3621,13398,0.9,0,20160302,null
127227,1041,13490,30:5,1,20160129,null
127227,3381,11951,200:20,1,20160129,null
127227,6424,1315,100:10,0,20160129,null
197110,2241,null,null,0,null,20160318
197110,8479,7360,10:1,0,20160526,null
197110,2241,null,null,0,null,20160408
197110,2241,null,null,0,null,20160616
197110,2241,null,null,0,null,20160610
197110,2241,7845,10:1,0,20160318,null
919512,7706,416,100:10,10,20160129,null
919512,2099,null,null,0,null,20160417
919512,2099,12034,100:10,0,20160129,null
919512,5341,7751,50:10,3,20160129,null
919512,2146,11173,100:10,10,20160129,null
919512,5341,111,30:5,3,20160129,null
919512,3710,13056,150:10,10,20160129,null
1380272,1569,12961,100:30,10,20160201,null
1380272,2099,12034,100:10,1,20160201,20160205
1380272,5341,7751,50:10,0,20160201,20160206
1380272,5341,11539,30:5,0,20160205,null
1380272,5341,11539,30:5,0,20160206,null
1380272,760,3237,20:5,0,20160201,null
1380272,5341,111,30:5,0,20160201,20160205
1380272,450,8555,30:5,3,20160201,null
3809120,3381,7610,200:20,2,20160411,null
886872,3381,11951,200:20,2,20160129,null
886872,3381,9776,10:5,2,20160129,null
94491,2786,null,null,8,null,20160321
94491,2786,13163,30:10,8,20160321,20160327
180790,4141,null,null,1,null,20160203
180790,4141,null,null,1,null,20160517
180790,4141,null,null,1,null,20160406
394348,6424,1315,100:10,2,20160131,null
559320,3621,2705,20:5,2,20160520,null
3548000,450,1532,30:5,null,20160527,null
3548000,3381,7610,200:20,10,20160429,null
4474560,6504,6679,30:1,1,20160317,null
4474560,1433,8735,30:5,10,20160213,null
4474560,6504,null,null,1,null,20160215
4474560,6504,2348,30:1,1,20160505,null
476332,3381,9776,10:5,0,20160129,null
476332,1569,5054,200:30,7,20160402,null
3680096,4048,3925,0.95,null,20160211,null
5525184,3381,null,null,1,null,20160123
5525184,3381,7610,200:20,1,20160405,null
5525184,3381,9481,300:30,1,20160123,null
5525184,760,2418,30:5,0,20160602,null
5525184,760,null,null,0,null,20160606
5525184,3381,4594,200:20,1,20160123,null
6311616,1244,5136,30:10,1,20160526,null
180886,1469,7430,50:20,0,20160521,null
180886,1469,null,null,0,null,20160130
180886,1320,null,null,0,null,20160119
